Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.0073,8.4,8,1,406,6.77,1.18,"8822.02, 8656.91, 7162.43, 6738.49, 8809.04, 7482.84, 7621.34, 8074.01",0.14,0.7,0,,,,0.9375,0.138546798,14
3.0074,8.5,8,1,920,15.33,0.52,"8822.02, 8656.91, 7162.43, 6738.49, 8809.04, 7482.84, 7621.34, 8074.01",0.07,0.75,4,trigger to next,,,1,0.0652173913,7
3.008,7.1,7,1,50,0.83,8.40,"7831.73, 6990.27, 7741.01, 8961.15, 6510.96, 8334.61, 8499.66",0.9,0.45,0,,,,0.75,0.9,90
3.0081,7.2,7,1,85,1.42,4.94,"7831.73, 6990.27, 7741.01, 8961.15, 6510.96, 8334.61, 8499.66",0.57,0.55,0,,,,0.8125,0.5735294118,57
3.0082,7.3,7,1,216,3.60,1.94,"7831.73, 6990.27, 7741.01, 8961.15, 6510.96, 8334.61, 8499.66",0.24,0.65,0,,,,0.875,0.2430555556,24
3.0083,7.4,7,1,426,7.10,0.99,"7831.73, 6990.27, 7741.01, 8961.15, 6510.96, 8334.61, 8499.66",0.13,0.75,0,,,,0.9375,0.1320422535,13
3.0084,7.5,7,1,960,16.00,0.44,"7831.73, 6990.27, 7741.01, 8961.15, 6510.96, 8334.61, 8499.66",0.06,0.8,4,trigger to next,,,1,0.0625,6
3.009,6.1,6,1,45,0.75,8.00,"7671.47, 8759.51, 7332.54, 8132.39, 7468.21, 6882.37",1,0.5,0,,,,0.75,1,100
3.0091,6.2,6,1,78,1.30,4.62,"7671.47, 8759.51, 7332.54, 8132.39, 7468.21, 6882.37",0.63,0.6,0,,,,0.8125,0.625,63
3.0092,6.3,6,1,216,3.60,1.67,"7671.47, 8759.51, 7332.54, 8132.39, 7468.21, 6882.37",0.24,0.7,0,,,,0.875,0.2430555556,24
3.0093,6.4,6,1,446,7.43,0.81,"7671.47, 8759.51, 7332.54, 8132.39, 7468.21, 6882.37",0.13,0.8,0,,,,0.9375,0.1261210762,13
3.0094,6.5,6,1,1000,16.67,0.36,"7671.47, 8759.51, 7332.54, 8132.39, 7468.21, 6882.37",0.06,0.85,4,trigger to next,,,1,0.06,6
3.01,5.1,5,1,40,0.67,7.50,"7795.14, 7251.2, 7489, 8771.1, 8212.5",1.13,0.55,0,,,,0.75,1.125,113
3.0101,5.2,5,1,71,1.18,4.23,"7795.14, 7251.2, 7489, 8771.1, 8212.5",0.69,0.65,0,,,,0.8125,0.6866197183,69
3.0102,5.3,5,1,216,3.60,1.39,"7795.14, 7251.2, 7489, 8771.1, 8212.5",0.24,0.75,0,,,,0.875,0.2430555556,24
3.0103,5.4,5,1,466,7.77,0.64,"7795.14, 7251.2, 7489, 8771.1, 8212.5",0.12,0.8,0,,,,0.9375,0.1207081545,12
